Family,Genome,Protein,Genus,Species,Classifier
GT2,GCA_900029915.1,CVK87237.1,Fusarium,proliferatum,dbCAN
GH6,GCA_012552325.1,KAF4132870.1,Phytophthora,infestans,dbCAN
AA3,GCA_003615215.1,RKL40106.1,Fusarium,proliferatum,dbCAN
GH2,GCA_002234985.1,OXN04822.1,Aspergillus,fumigatus,dbCAN
CE16,GCA_900044135.1,CEF74635.1,Fusarium,graminearum,dbCAN
GT39,GCA_001515345.1,GAQ43517.1,Aspergillus,niger,dbCAN
GH10,GCA_003615155.1,RKK99923.1,Fusarium,oxysporum,dbCAN
GH3,GCA_002894145.1,PNP51039.1,Trichoderma,harzianum,dbCAN
CE9,GCA_000599445.1,EYB27733.1,Fusarium,graminearum,dbCAN
GT2,GCA_003615165.1,RKL05805.1,Fusarium,oxysporum,dbCAN
GH76,GCA_012656185.1,KAF4268476.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_900074885.1,CZT09762.1,Rhynchosporium,commune,dbCAN
AA3,GCA_900248155.1,SPB49252.1,Aspergillus,niger,dbCAN
GH0,GCF_000002855.3,XP_001399591.1,Aspergillus,niger,dbCAN
GH32,GCA_003290285.1,RBA11810.1,Fusarium,proliferatum,dbCAN
CE8,GCA_002234955.1,OXN15075.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_900029915.1,CVL03710.1,Fusarium,proliferatum,dbCAN
GT15,GCA_900044135.1,CEF83785.1,Fusarium,graminearum,dbCAN
GH5,GCF_000002855.3,XP_001398868.1,Aspergillus,niger,dbCAN
GH5,GCA_002234985.1,OXN05431.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_002894145.1,PNP59769.1,Trichoderma,harzianum,dbCAN
AA1,GCA_900044135.1,CEF74605.1,Fusarium,graminearum,dbCAN
GT4,GCA_012656115.1,KAF4289769.1,Aspergillus,fumigatus,dbCAN
CE5,GCF_004355905.1,XP_030976132.1,Magnaporthe,grisea,dbCAN
GH3,GCA_012656165.1,KAF4268343.1,Aspergillus,fumigatus,dbCAN
GH72,GCA_002234955.1,OXN23563.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_003615155.1,RKK94302.1,Fusarium,oxysporum,dbCAN
GH47,GCA_900044135.1,CEF72631.1,Fusarium,graminearum,dbCAN
GT3,GCA_003290285.1,RBA09333.1,Fusarium,proliferatum,dbCAN
GH128,GCA_900044135.1,CEF74018.1,Fusarium,graminearum,CAZy
AA3,GCA_003615155.1,RKL16011.1,Fusarium,oxysporum,dbCAN
GT48,GCF_000149755.1,XP_009515447.1,Phytophthora,sojae,dbCAN
GT4,GCA_004346965.1,QBZ53756.1,Magnaporthe,oryzae,CAZy
GT71,GCA_000509505.1,ETM01569.1,Phytophthora,parasitica,dbCAN
GT90,GCA_002234955.1,OXN17871.1,Aspergillus,fumigatus,dbCAN
GH10,GCA_003615155.1,RKK99913.1,Fusarium,oxysporum,dbCAN
GT3,GCA_003615115.1,RKK73184.1,Fusarium,oxysporum,dbCAN
GT8,GCA_900044135.1,SCB64319.1,Fusarium,graminearum,dbCAN
GH43,GCA_012656165.1,KAF4255849.1,Aspergillus,fumigatus,dbCAN
GH13,GCA_900029915.1,CVL13649.1,Fusarium,proliferatum,dbCAN
GH78,GCA_003615165.1,RKK82646.1,Fusarium,oxysporum,dbCAN
GH31,GCF_000149755.1,XP_009520193.1,Phytophthora,sojae,dbCAN
GH128,GCF_003025115.1,XP_024749011.1,Trichoderma,citrinoviride,dbCAN
CE16,GCA_900029915.1,CVL09927.1,Fusarium,proliferatum,dbCAN
PL20,GCA_900074885.1,CZT09031.1,Rhynchosporium,commune,dbCAN
GT31,GCA_003615215.1,RKL33429.1,Fusarium,proliferatum,dbCAN
GH47,GCA_003615215.1,RKL26229.1,Fusarium,proliferatum,dbCAN
GH3,GCA_012656215.1,KAF4257151.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_000599445.1,EYB32009.1,Fusarium,graminearum,dbCAN
GH76,GCA_003615185.1,RKL36968.1,Fusarium,oxysporum,dbCAN
CBM67,GCA_900096695.1,SCO80733.1,Fusarium,oxysporum,dbCAN
GH55,GCA_002894145.1,PNP45745.1,Trichoderma,harzianum,dbCAN
GH131,GCA_003290285.1,RBA14768.1,Fusarium,proliferatum,dbCAN
GH5,GCA_002838845.1,PKK54000.1,Trichoderma,harzianum,dbCAN
AA3,GCA_002211485.2,TPR03174.1,Aspergillus,niger,dbCAN
GH10,GCA_003615155.1,RKL19166.1,Fusarium,oxysporum,dbCAN
GH18,GCA_003615185.1,RKL14549.1,Fusarium,oxysporum,dbCAN
GH88,GCA_002234985.1,OXN03469.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_004346965.1,QBZ54458.1,Magnaporthe,oryzae,dbCAN
AA13,GCA_003615155.1,RKK93234.1,Fusarium,oxysporum,dbCAN
GH55,GCA_900248155.1,SPB48668.1,Aspergillus,niger,dbCAN
GH127,GCA_900096695.1,SCO80132.1,Fusarium,oxysporum,dbCAN
AA3,GCA_004346965.1,QBZ63758.1,Magnaporthe,oryzae,CAZy
CBM63,GCA_003615215.1,RKL29917.1,Fusarium,proliferatum,dbCAN
CE8,GCA_012552325.1,KAF4135910.1,Phytophthora,infestans,dbCAN
CBM18,GCA_003615165.1,RKL04287.1,Fusarium,oxysporum,dbCAN
GH16,GCA_003615215.1,RKL50971.1,Fusarium,proliferatum,dbCAN
GH78,GCA_900029915.1,CVL13002.1,Fusarium,proliferatum,dbCAN
CBM18,GCA_000988865.1,KKP07688.1,Trichoderma,harzianum,dbCAN
GH1,GCA_003615215.1,RKL22776.1,Fusarium,proliferatum,dbCAN
GT32,GCA_004346965.1,QBZ58620.1,Magnaporthe,oryzae,dbCAN
GH2,GCA_900029915.1,CVK86873.1,Fusarium,proliferatum,dbCAN
GH17,GCA_900074895.1,CZT53380.1,Rhynchosporium,secalis,dbCAN
AA1,GCA_000988865.1,KKP01446.1,Trichoderma,harzianum,dbCAN
AA16,GCA_012656125.1,KAF4280226.1,Aspergillus,fumigatus,dbCAN
GH75,GCA_002838845.1,PKK46841.1,Trichoderma,harzianum,dbCAN
GH12,GCA_000509465.1,ETK95000.1,Phytophthora,parasitica,dbCAN
PL3,GCF_000149755.1,XP_009524685.1,Phytophthora,sojae,dbCAN
GH16,GCA_003615185.1,RKL36072.1,Fusarium,oxysporum,dbCAN
GH36,GCF_000002855.3,XP_001393350.2,Aspergillus,niger,dbCAN
GH33,GCA_003615115.1,RKK67015.1,Fusarium,oxysporum,dbCAN
GH2,GCA_003615215.1,RKL43263.1,Fusarium,proliferatum,dbCAN
GT25,GCA_004346965.1,QBZ57328.1,Magnaporthe,oryzae,CAZy
GT2,GCA_900074885.1,CZT05113.1,Rhynchosporium,commune,dbCAN
GT1,GCA_900074905.1,CZS99206.1,Rhynchosporium,agropyri,dbCAN
GH15,GCA_900096695.1,SCO81931.1,Fusarium,oxysporum,dbCAN
GH5,GCA_900080155.1,SAM85236.1,Ustilago,bromivora,CAZy
GH79,GCA_003615215.1,RKL41697.1,Fusarium,proliferatum,dbCAN
GH31,GCA_003615185.1,RKL46319.1,Fusarium,oxysporum,dbCAN
GT33,GCA_012656115.1,KAF4294499.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_900074895.1,CZT41707.1,Rhynchosporium,secalis,dbCAN
GH78,GCA_900096695.1,SCO76685.1,Fusarium,oxysporum,dbCAN
GH11,GCA_003615215.1,RKL37956.1,Fusarium,proliferatum,dbCAN
GT2,GCA_002838845.1,PKK45795.1,Trichoderma,harzianum,dbCAN
GH32,GCA_003615115.1,RKK75650.1,Fusarium,oxysporum,dbCAN
GH31,GCA_012552325.1,KAF4130332.1,Phytophthora,infestans,dbCAN
GH16,GCA_003615115.1,RKK75411.1,Fusarium,oxysporum,dbCAN
AA9,GCA_002352725.1,PCD29734.1,Fusarium,graminearum,dbCAN
GT71,GCA_001078535.1,CCI43732.1,Albugo,candida,dbCAN
AA4,GCA_003615185.1,RKL06856.1,Fusarium,oxysporum,dbCAN
AA1,GCA_900074885.1,CZT03169.1,Rhynchosporium,commune,dbCAN
GH16,GCA_012656215.1,KAF4277156.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_002211485.2,TPR03181.1,Aspergillus,niger,dbCAN
GT15,GCA_012656125.1,KAF4282875.1,Aspergillus,fumigatus,dbCAN
AA9,GCA_004346965.1,QBZ60923.1,Magnaporthe,oryzae,CAZy
GH12,GCA_000509525.1,ETM37183.1,Phytophthora,parasitica,dbCAN
GH28,GCA_003615185.1,RKL29838.1,Fusarium,oxysporum,dbCAN
GH78,GCA_003615215.1,RKL20096.1,Fusarium,proliferatum,dbCAN
CE4,GCA_000509485.1,ETL38874.1,Phytophthora,parasitica,dbCAN
GH78,GCA_012656125.1,KAF4285919.1,Aspergillus,fumigatus,dbCAN
GT58,GCA_000988865.1,KKO97768.1,Trichoderma,harzianum,dbCAN
GH28,GCF_000149755.1,XP_009529025.1,Phytophthora,sojae,dbCAN
GT22,GCA_003615165.1,RKK84119.1,Fusarium,oxysporum,dbCAN
GT25,GCA_012656115.1,KAF4292625.1,Aspergillus,fumigatus,dbCAN
GT57,GCA_900044135.1,CEF74838.1,Fusarium,graminearum,dbCAN
CBM1,GCA_003615215.1,RKL50583.1,Fusarium,proliferatum,dbCAN
GH17,GCA_900248155.1,SPB47019.1,Aspergillus,niger,dbCAN
CE5,GCA_900080155.1,SAM86244.1,Ustilago,bromivora,dbCAN
GH43,GCA_001515345.1,GAQ42185.1,Aspergillus,niger,dbCAN
GH131,GCF_004355905.1,XP_030976800.1,Magnaporthe,grisea,dbCAN
CBM1,GCA_012656165.1,KAF4264912.1,Aspergillus,fumigatus,dbCAN
GH11,GCA_900096695.1,SCO87404.1,Fusarium,oxysporum,dbCAN
GH36,GCA_003615165.1,RKK92540.1,Fusarium,oxysporum,dbCAN
GH31,GCA_012295175.1,KAF4031278.1,Phytophthora,infestans,dbCAN
CE8,GCA_000509525.1,ETM34456.1,Phytophthora,parasitica,dbCAN
CBM18,GCA_003615185.1,RKL31659.1,Fusarium,oxysporum,dbCAN
CBM18,GCA_900248155.1,SPB48677.1,Aspergillus,niger,dbCAN
GT1,GCA_003615115.1,RKK67909.1,Fusarium,oxysporum,dbCAN
GT5,GCA_002211485.2,TPR05323.1,Aspergillus,niger,dbCAN
GH47,GCA_003290285.1,RBA13858.1,Fusarium,proliferatum,dbCAN
CE5,GCA_004346965.1,QBZ64428.1,Magnaporthe,oryzae,CAZy
GH28,GCA_012295175.1,KAF4045322.1,Phytophthora,infestans,dbCAN
AA3,GCA_012656165.1,KAF4271476.1,Aspergillus,fumigatus,dbCAN
GT1,GCA_012656165.1,KAF4275926.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_000988865.1,KKO97125.1,Trichoderma,harzianum,dbCAN
GH95,GCA_003290285.1,RBA19246.1,Fusarium,proliferatum,dbCAN
CE8,GCA_012295175.1,KAF4043038.1,Phytophthora,infestans,dbCAN
GH7,GCA_000509525.1,ETM54881.1,Phytophthora,parasitica,dbCAN
GT17,GCA_900096695.1,SCO88138.1,Fusarium,oxysporum,dbCAN
AA1,GCA_000988865.1,KKO96812.1,Trichoderma,harzianum,dbCAN
PL4,GCA_000509485.1,ETL28344.1,Phytophthora,parasitica,dbCAN
GH76,GCA_900029915.1,CVL08834.1,Fusarium,proliferatum,dbCAN
GH5,GCF_000002855.3,XP_001390007.2,Aspergillus,niger,dbCAN
GH71,GCA_900248155.1,SPB52117.1,Aspergillus,niger,dbCAN
GH135,GCA_001515345.1,GAQ47433.1,Aspergillus,niger,dbCAN
GH13,GCF_003025115.1,XP_024753597.1,Trichoderma,citrinoviride,dbCAN
GH3,GCA_002894145.1,PNP54060.1,Trichoderma,harzianum,dbCAN
GT76,GCA_900248155.1,SPB50445.1,Aspergillus,niger,dbCAN
GH16,GCA_900080155.1,SAM83525.1,Ustilago,bromivora,dbCAN
CBM20,GCA_001515345.1,GAQ42198.1,Aspergillus,niger,dbCAN
GT4,GCA_002838845.1,PKK46837.1,Trichoderma,harzianum,dbCAN
GH5,GCA_900074895.1,CZT46092.1,Rhynchosporium,secalis,dbCAN
GH35,GCA_003615155.1,RKL13805.1,Fusarium,oxysporum,dbCAN
GH27,GCA_900074885.1,CZS89768.1,Rhynchosporium,commune,dbCAN
GH13,GCF_003025115.1,XP_024753601.1,Trichoderma,citrinoviride,dbCAN
GT66,GCA_003615165.1,RKK87556.1,Fusarium,oxysporum,dbCAN
GH16,GCA_000509505.1,ETL91081.1,Phytophthora,parasitica,dbCAN
CE3,GCA_003615215.1,RKL32490.1,Fusarium,proliferatum,dbCAN
GH78,GCA_012656215.1,KAF4253191.1,Aspergillus,fumigatus,dbCAN
AA7,GCA_003615215.1,RKL43300.1,Fusarium,proliferatum,dbCAN
GT20,GCA_012656215.1,KAF4255678.1,Aspergillus,fumigatus,dbCAN
GH27,GCA_003615185.1,RKL46503.1,Fusarium,oxysporum,dbCAN
GH125,GCA_003615165.1,RKL02009.1,Fusarium,oxysporum,dbCAN
GT62,GCA_012656215.1,KAF4278699.1,Aspergillus,fumigatus,dbCAN
GT33,GCA_012656215.1,KAF4277187.1,Aspergillus,fumigatus,dbCAN
GT1,GCA_004346965.1,QBZ61993.1,Magnaporthe,oryzae,dbCAN
GH72,GCA_900248155.1,SPB51792.1,Aspergillus,niger,dbCAN
CE1,GCF_004355905.1,XP_030987076.1,Magnaporthe,grisea,dbCAN
GH10,GCA_000509505.1,ETL80422.1,Phytophthora,parasitica,dbCAN
GH6,GCA_001515345.1,GAQ41492.1,Aspergillus,niger,dbCAN
AA1,GCF_004355905.1,XP_030985959.1,Magnaporthe,grisea,dbCAN
AA1,GCA_002894145.1,PNP50879.1,Trichoderma,harzianum,dbCAN
GT76,GCA_003615215.1,RKL47662.1,Fusarium,proliferatum,dbCAN
CE5,GCA_900074895.1,CZT44325.1,Rhynchosporium,secalis,dbCAN
CBM20,GCA_003615155.1,RKK93234.1,Fusarium,oxysporum,dbCAN
CE1,GCA_003290285.1,RBA13189.1,Fusarium,proliferatum,dbCAN
GT15,GCA_004346965.1,QBZ62030.1,Magnaporthe,oryzae,dbCAN
GH13,GCA_012656215.1,KAF4253669.1,Aspergillus,fumigatus,dbCAN
CE12,GCA_003615115.1,RKK69616.1,Fusarium,oxysporum,dbCAN
GH43,GCA_004346965.1,QBZ57894.1,Magnaporthe,oryzae,CAZy
AA12,GCA_000988865.1,KKP06583.1,Trichoderma,harzianum,dbCAN
GT105,GCF_000149755.1,XP_009514257.1,Phytophthora,sojae,dbCAN
GH31,GCA_012656185.1,KAF4253622.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_002211485.2,TPR11680.1,Aspergillus,niger,dbCAN
GH78,GCA_003615165.1,RKK89106.1,Fusarium,oxysporum,dbCAN
GH152,GCA_004346965.1,QBZ65635.1,Magnaporthe,oryzae,CAZy
GH3,GCA_003290285.1,RBA19650.1,Fusarium,proliferatum,dbCAN
GH38,GCA_000509525.1,ETM47126.1,Phytophthora,parasitica,dbCAN
CE3,GCA_004346965.1,QBZ63269.1,Magnaporthe,oryzae,dbCAN
GT22,GCA_000509485.1,ETL47814.1,Phytophthora,parasitica,dbCAN
CE4,GCF_004355905.1,XP_030984722.1,Magnaporthe,grisea,dbCAN
GH12,GCA_003290285.1,RBA20977.1,Fusarium,proliferatum,dbCAN
GH10,GCA_004346965.1,QBZ55005.1,Magnaporthe,oryzae,dbCAN
GT71,GCF_000149755.1,XP_009535485.1,Phytophthora,sojae,dbCAN
GH0,GCA_900074885.1,CZS98423.1,Rhynchosporium,commune,dbCAN
GH78,GCA_002352725.1,PCD21071.1,Fusarium,graminearum,dbCAN
GH43,GCA_003615115.1,RKK82267.1,Fusarium,oxysporum,dbCAN
GH35,GCA_900074895.1,CZT45438.1,Rhynchosporium,secalis,dbCAN
GH12,GCA_000988865.1,KKP05139.1,Trichoderma,harzianum,dbCAN
CBM1,GCA_000599445.1,EYB22400.1,Fusarium,graminearum,dbCAN
GT32,GCA_002211485.2,TPR05458.1,Aspergillus,niger,dbCAN
GH10,GCA_003290285.1,RBA14234.1,Fusarium,proliferatum,dbCAN
AA5,GCA_012656215.1,KAF4259520.1,Aspergillus,fumigatus,dbCAN
GT41,GCA_003615155.1,RKK95115.1,Fusarium,oxysporum,dbCAN
GH43,GCA_004346965.1,QBZ62717.1,Magnaporthe,oryzae,CAZy
GT34,GCA_900044135.1,CEF79413.1,Fusarium,graminearum,CAZy
GT20,GCA_000988865.1,KKO96786.1,Trichoderma,harzianum,dbCAN
GH76,GCA_002234955.1,OXN26002.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_004346965.1,QBZ65515.1,Magnaporthe,oryzae,CAZy
GH162,GCA_003290285.1,RBA20595.1,Fusarium,proliferatum,dbCAN
GH92,GCA_002211485.2,TPR01966.1,Aspergillus,niger,dbCAN
CE12,GCA_900074905.1,CZT12886.1,Rhynchosporium,agropyri,dbCAN
GH37,GCA_900044135.1,CEF86500.1,Fusarium,graminearum,dbCAN
CE5,GCA_004346965.1,QBZ62508.1,Magnaporthe,oryzae,CAZy
AA13,GCA_900096695.1,SCO80883.1,Fusarium,oxysporum,dbCAN
GH12,GCA_003615215.1,RKL36585.1,Fusarium,proliferatum,dbCAN
GH1,GCA_012552325.1,KAF4147304.1,Phytophthora,infestans,dbCAN
GH7,GCA_900096695.1,SCO76346.1,Fusarium,oxysporum,dbCAN
GH78,GCA_003615165.1,RKK79568.1,Fusarium,oxysporum,dbCAN
GH76,GCA_001515345.1,GAQ45126.1,Aspergillus,niger,dbCAN
GT24,GCA_000509505.1,ETL82824.1,Phytophthora,parasitica,dbCAN
GH15,GCA_004346965.1,QBZ56024.1,Magnaporthe,oryzae,dbCAN
GH27,GCA_002838845.1,PKK53639.1,Trichoderma,harzianum,dbCAN
CE5,GCA_002838845.1,PKK44084.1,Trichoderma,harzianum,dbCAN
GH37,GCA_003615155.1,RKL05648.1,Fusarium,oxysporum,dbCAN
GH5,GCA_900080155.1,SAM86230.1,Ustilago,bromivora,dbCAN
GH142,GCA_002211485.2,TPR05724.1,Aspergillus,niger,dbCAN
GH13,GCA_002234955.1,OXN29793.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_002234985.1,OXN09616.1,Aspergillus,fumigatus,dbCAN
AA8,GCA_003615215.1,RKL41259.1,Fusarium,proliferatum,dbCAN
GH93,GCA_003290285.1,RBA18090.1,Fusarium,proliferatum,dbCAN
PL3,GCA_012295175.1,KAF4028496.1,Phytophthora,infestans,dbCAN
GH17,GCA_002234985.1,OXN06862.1,Aspergillus,fumigatus,dbCAN
GH35,GCA_002894145.1,PNP55689.1,Trichoderma,harzianum,dbCAN
CBM1,GCA_002838845.1,PKK54829.1,Trichoderma,harzianum,dbCAN
GH16,GCA_000509465.1,ETK84517.1,Phytophthora,parasitica,dbCAN
GH131,GCA_004346965.1,QBZ65172.1,Magnaporthe,oryzae,dbCAN
GH5,GCA_900080155.1,SAM77391.1,Ustilago,bromivora,dbCAN
GH16,GCA_000509525.1,ETM56922.1,Phytophthora,parasitica,dbCAN
GH5,GCA_003290285.1,RBA16291.1,Fusarium,proliferatum,dbCAN
GT39,GCA_002352725.1,PCD33945.1,Fusarium,graminearum,dbCAN
AA14,GCF_003025115.1,XP_024748296.1,Trichoderma,citrinoviride,dbCAN
GT22,GCA_002894145.1,PNP53650.1,Trichoderma,harzianum,dbCAN
GH43,GCA_900096695.1,SCO91950.1,Fusarium,oxysporum,dbCAN
GH7,GCF_003025115.1,XP_024748275.1,Trichoderma,citrinoviride,dbCAN
GH16,GCA_900248155.1,SPB44909.1,Aspergillus,niger,dbCAN
AA1,GCA_002211485.2,TPR02381.1,Aspergillus,niger,dbCAN
GH27,GCA_003615185.1,RKL42813.1,Fusarium,oxysporum,dbCAN
GT57,GCA_000509525.1,ETM49253.1,Phytophthora,parasitica,dbCAN
GH10,GCA_002234985.1,OXN06049.1,Aspergillus,fumigatus,dbCAN
GT31,GCA_001515345.1,GAQ46059.1,Aspergillus,niger,dbCAN
GH15,GCA_002234985.1,OXN09565.1,Aspergillus,fumigatus,dbCAN
GH105,GCA_003615165.1,RKK88505.1,Fusarium,oxysporum,dbCAN
GH31,GCF_004355905.1,XP_030979149.1,Magnaporthe,grisea,dbCAN
GT35,GCA_900029915.1,CVK97064.1,Fusarium,proliferatum,dbCAN
GH16,GCF_000149755.1,XP_009516477.1,Phytophthora,sojae,dbCAN
GH54,GCF_004355905.1,XP_030986840.1,Magnaporthe,grisea,dbCAN
GT48,GCA_000509525.1,ETM40659.1,Phytophthora,parasitica,dbCAN
GT4,GCA_003615115.1,RKK82728.1,Fusarium,oxysporum,dbCAN
GH31,GCA_003615115.1,RKK83209.1,Fusarium,oxysporum,dbCAN
GH123,GCA_012295175.1,KAF4029044.1,Phytophthora,infestans,dbCAN
GT32,GCA_003615155.1,RKL06015.1,Fusarium,oxysporum,dbCAN
GT2,GCA_003615165.1,RKL04655.1,Fusarium,oxysporum,dbCAN
GT69,GCA_002352725.1,PCD33862.1,Fusarium,graminearum,dbCAN
GH3,GCA_002894145.1,PNP57990.1,Trichoderma,harzianum,dbCAN
GH16,GCA_001515345.1,GAQ42678.1,Aspergillus,niger,dbCAN
GH55,GCA_012656125.1,KAF4280013.1,Aspergillus,fumigatus,dbCAN
GH13,GCA_002352725.1,PCD27732.1,Fusarium,graminearum,dbCAN
GH62,GCA_900080155.1,SAM84119.1,Ustilago,bromivora,CAZy
CBM66,GCA_004346965.1,QBZ55323.1,Magnaporthe,oryzae,dbCAN
GH7,GCA_001515345.1,GAQ36206.1,Aspergillus,niger,dbCAN
CBM50,GCA_004346965.1,QBZ56316.1,Magnaporthe,oryzae,CAZy
GT71,GCF_000149755.1,XP_009528087.1,Phytophthora,sojae,dbCAN
GH15,GCA_012656215.1,KAF4279557.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_004346965.1,QBZ58877.1,Magnaporthe,oryzae,CAZy
AA9,GCA_003615155.1,RKL04163.1,Fusarium,oxysporum,dbCAN
GH2,GCA_000599445.1,EYB27982.1,Fusarium,graminearum,dbCAN
CBM43,GCF_003025115.1,XP_024746778.1,Trichoderma,citrinoviride,dbCAN
GH72,GCA_004346965.1,QBZ57663.1,Magnaporthe,oryzae,dbCAN
GT32,GCA_004346965.1,QBZ58514.1,Magnaporthe,oryzae,dbCAN
CBM48,GCA_002838845.1,PKK54531.1,Trichoderma,harzianum,dbCAN
GH43,GCA_900096695.1,SCO86191.1,Fusarium,oxysporum,dbCAN
CBM67,GCA_003615215.1,RKL38531.1,Fusarium,proliferatum,dbCAN
GH17,GCA_012552325.1,KAF4137639.1,Phytophthora,infestans,dbCAN
GT2,GCA_012656115.1,KAF4294113.1,Aspergillus,fumigatus,dbCAN
GT71,GCA_001078535.1,CCI49242.1,Albugo,candida,dbCAN
GH105,GCA_003615155.1,RKK96469.1,Fusarium,oxysporum,dbCAN
GH18,GCF_004355905.1,XP_030986229.1,Magnaporthe,grisea,dbCAN
PL3,GCA_003615165.1,RKK99321.1,Fusarium,oxysporum,dbCAN
GH3,GCA_012656215.1,KAF4252338.1,Aspergillus,fumigatus,dbCAN
GH27,GCF_003025115.1,XP_024750255.1,Trichoderma,citrinoviride,dbCAN
GT22,GCF_900000015.1,XP_024578262.1,Plasmopara,halstedii,dbCAN
AA4,GCA_003290285.1,RBA20527.1,Fusarium,proliferatum,dbCAN
AA9,GCA_004346965.1,QBZ53712.1,Magnaporthe,oryzae,dbCAN
AA1,GCA_003615215.1,RKL51189.1,Fusarium,proliferatum,dbCAN
GH10,GCA_002352725.1,PCD29998.1,Fusarium,graminearum,dbCAN
GH2,GCA_012656215.1,KAF4264698.1,Aspergillus,fumigatus,dbCAN
GH35,GCA_003615215.1,RKL37152.1,Fusarium,proliferatum,dbCAN
CBM50,GCA_900044135.1,CEF83616.1,Fusarium,graminearum,CAZy
GT32,GCA_002894145.1,PNP50351.1,Trichoderma,harzianum,dbCAN
GH3,GCA_900044135.1,CEF74963.1,Fusarium,graminearum,CAZy
GH11,GCA_900044135.1,CEF78463.1,Fusarium,graminearum,CAZy
GH47,GCA_000599445.1,EYB24315.1,Fusarium,graminearum,dbCAN
GH18,GCF_000002855.3,XP_001396624.1,Aspergillus,niger,dbCAN
GH16,GCA_000509525.1,ETM44379.1,Phytophthora,parasitica,dbCAN
GT50,GCA_012295175.1,KAF4030547.1,Phytophthora,infestans,dbCAN
GH12,GCA_012552325.1,KAF4137536.1,Phytophthora,infestans,dbCAN
GH18,GCA_002234985.1,OXN09902.1,Aspergillus,fumigatus,dbCAN
GH3,GCF_000002855.3,XP_001399892.1,Aspergillus,niger,dbCAN
CBM20,GCA_000599445.1,EYB23302.1,Fusarium,graminearum,dbCAN
GH81,GCF_000149755.1,XP_009515640.1,Phytophthora,sojae,dbCAN
GH43,GCA_004346965.1,QBZ53741.1,Magnaporthe,oryzae,dbCAN
GH5,GCF_000149755.1,XP_009523982.1,Phytophthora,sojae,dbCAN
GH92,GCA_000988865.1,KKP03293.1,Trichoderma,harzianum,dbCAN
GH2,GCA_900044135.1,CEF71940.1,Fusarium,graminearum,CAZy
GH18,GCA_000988865.1,KKP02188.1,Trichoderma,harzianum,dbCAN
GH78,GCA_900096695.1,SCO75912.1,Fusarium,oxysporum,dbCAN
GH16,GCF_003025115.1,XP_024745165.1,Trichoderma,citrinoviride,dbCAN
GH16,GCA_003615155.1,RKL21819.1,Fusarium,oxysporum,dbCAN
GH36,GCA_003615165.1,RKK87397.1,Fusarium,oxysporum,dbCAN
GT20,GCA_012656165.1,KAF4273104.1,Aspergillus,fumigatus,dbCAN
CBM13,GCF_900000015.1,XP_024573553.1,Plasmopara,halstedii,dbCAN
AA11,GCA_004346965.1,QBZ60055.1,Magnaporthe,oryzae,CAZy
GH25,GCA_900080155.1,SAM82084.1,Ustilago,bromivora,dbCAN
CE4,GCA_000509525.1,ETM45320.1,Phytophthora,parasitica,dbCAN
AA3,GCA_900096695.1,SCO86754.1,Fusarium,oxysporum,dbCAN
GH63,GCF_004355905.1,XP_030977140.1,Magnaporthe,grisea,dbCAN
GH13,GCA_012656115.1,KAF4290245.1,Aspergillus,fumigatus,dbCAN
GH88,GCA_012656125.1,KAF4282922.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_003615165.1,RKK74169.1,Fusarium,oxysporum,dbCAN
GT71,GCF_000002855.3,XP_001402037.2,Aspergillus,niger,dbCAN
GT69,GCA_004346965.1,QBZ62737.1,Magnaporthe,oryzae,dbCAN
GT58,GCA_000509465.1,ETK74839.1,Phytophthora,parasitica,dbCAN
GH28,GCA_003615165.1,RKK85204.1,Fusarium,oxysporum,dbCAN
GH79,GCA_003615115.1,RKK80222.1,Fusarium,oxysporum,dbCAN
GH13,GCA_012656165.1,KAF4276243.1,Aspergillus,fumigatus,dbCAN
PL9,GCA_003615185.1,RKL39633.1,Fusarium,oxysporum,dbCAN
GT90,GCF_004355905.1,XP_030983604.1,Magnaporthe,grisea,dbCAN
CE2,GCA_003615115.1,RKK76384.1,Fusarium,oxysporum,dbCAN
GH146,GCA_003615185.1,RKL39520.1,Fusarium,oxysporum,dbCAN
GH72,GCA_000599445.1,EYB25886.1,Fusarium,graminearum,dbCAN
GH10,GCA_003615115.1,RKK61800.1,Fusarium,oxysporum,dbCAN
AA3,GCA_012656165.1,KAF4271140.1,Aspergillus,fumigatus,dbCAN
GH31,GCA_002894145.1,PNP57228.1,Trichoderma,harzianum,dbCAN
CBM18,GCA_012656165.1,KAF4273063.1,Aspergillus,fumigatus,dbCAN
GH2,GCA_002352725.1,PCD30186.1,Fusarium,graminearum,dbCAN
PL4,GCA_012656115.1,KAF4295530.1,Aspergillus,fumigatus,dbCAN
